// Elemental Attribute Damage Adjustment Tables
//
// Structure of Database:
// Columns - attacker's weapon element
// Rows    - target's defense element

1	// lv1 Attribute table
//Neut Watr Erth Fire Wind Pois Holy Shdw Gho  Und
  100, 100, 100, 100, 100, 100, 100, 100,  90, 100,  // Neutral
  100,  25, 100, 150,  90, 100, 100, 100, 100, 100,  // Water
  100, 100,  25,  90, 150, 100, 100, 100, 100, 100,  // Earth
  100,  90, 150,  25, 100, 100, 100, 100, 100, 125,  // Fire
  100, 150,  90, 100,  25, 100, 100, 100, 100, 100,  // Wind
  100, 150, 150, 150, 150,   0,  75,  75,  75,  75,  // Poison
  100, 100, 100, 100, 100,  75,   0, 125, 100, 125,  // Holy
  100, 100, 100, 100, 100,  75, 125,   0, 100,   0,  // Shadow
   90, 100, 100, 100, 100,  75,  90,  90, 125, 100,  // Ghost
  100, 100, 100,  90, 100,  75, 125,   0, 100,   0,  // Undead

2	// lv2 Attribute table
//Neut Watr Erth Fire Wind Pois Holy Shdw Gho  Und
  100, 100, 100, 100, 100, 100, 100, 100,  70, 100,  // Neutral
  100,   0, 100, 175,  80, 100, 100, 100, 100, 100,  // Water
  100, 100,   0,  80, 175, 100, 100, 100, 100, 100,  // Earth
  100,  80, 175,   0, 100, 100, 100, 100, 100, 150,  // Fire
  100,  175, 80, 100,   0, 100, 100, 100, 100, 100,  // Wind
  100, 150, 150, 150, 150,   0,  75,  75,  75,  50,  // Poison
  100, 100, 100, 100, 100,  75,   0, 150, 100, 150,  // Holy
  100, 100, 100, 100, 100,  75, 150,   0, 100,   0,  // Shadow
   70, 100, 100, 100, 100,  75,  80,  80, 150, 125,  // Ghost
  100, 100, 100,  80, 100,  50, 150,   0, 125,   0,  // Undead

3	// lv3 Attribute table
//Neut Watr Erth Fire Wind Pois Holy Shdw Gho  Und
  100, 100, 100, 100, 100, 100, 100, 100,  50, 100,  // Neutral
  100,   0, 100, 200,  70, 100, 100, 100, 100, 100,  // Water
  100, 100,   0,  70, 200, 100, 100, 100, 100, 100,  // Earth
  100,  70, 200,   0, 100, 100, 100, 100, 100, 175,  // Fire
  100, 200,  70, 100,   0, 100, 100, 100, 100, 100,  // Wind
  100, 125, 125, 125, 125,   0,  50,  50,  50,  25,  // Poison
  100, 100, 100, 100, 100,  50,   0, 175, 100, 175,  // Holy
  100, 100, 100, 100, 100,  50, 175,   0,  70,   0,  // Shadow
   50, 100, 100, 100, 100,  50,  70,  70, 175, 150,  // Ghost
  100, 100, 100,  70, 100,  25, 175,   0, 150,   0,  // Undead

4	// lv4 Attribute table
//Target property 
//Neut Watr Erth Fire Wind Pois Holy Shdw Gho  Und
  100, 100, 100, 100, 100, 100, 100, 100,   0, 100,  // Neutral
  100,   0, 100, 200,  60, 100, 100, 100, 100, 100,  // Water
  100, 100,   0,  60, 200, 100, 100, 100, 100, 100,  // Earth
  100,  60, 200,   0, 100, 120, 100, 100, 100,  60,  // Fire
  100, 200,  60, 100,   0, 100, 100, 100, 100, 100,  // Wind         //Attacking property
  100, 125, 125, 125, 125,   0,  50,  50,  50,   0,  // Poison
  100, 100, 100, 100, 100,  50,   0, 200,  60, 200,  // Holy
  100, 100, 100, 100, 100,  50, 200,   0, 100,   0,  // Shadow
    0, 100, 100, 100, 100,  50,  60,  60, 200, 175,  // Ghost
  100, 100, 100,  60, 100,   0, 200,   0, 175,   0,  // Undead










