// Forbidden Skills Database
// Defines unusable skills in map types and zones.
//
// Structure of Database:
// SkillID,Flag
//
// Legend for 'Flag' field (bitmask):
// 1    - cannot be used in normal maps
// 2    - cannot be used in PvP maps (use this instead of 1 for PK-mode servers)
// 4    - cannot be used in GvG maps
// 8    - cannot be used in Battleground maps
// 16   - cannot be used in WOE:TE castles
// Restricted zones - configured by 'restricted <number>' mapflag
// 32   - cannot be used in zone 1 maps
// 64   - cannot be used in zone 2 maps
// 128  - cannot be used in zone 3 maps
// 256  - cannot be used in zone 4 maps
// 512  - cannot be used in zone 5 maps
// 1024 - cannot be used in zone 6 maps
// 2048 - cannot be used in zone 7 maps
// 4096 - cannot be used in zone 8 maps
// 8192 - cannot be used in zone 9 maps
//
// Example:
// 8,6  // Endure cannot be used in PvP and GvG maps (2+4)

//----------------------------------------------------------------------------
// Zone 7 - Towns
//----------------------------------------------------------------------------
398,2048
6,2048
5,2048
58,2048
399,2048
7,2048
50,2048
802,2048
803,2048
52,2048
1004,2048
152,2048
809,2048
810,2048
811,2048
804,2048
42,2048
1009,2048
499,2048
2017,2048
47,2048
46,2048
807,2048
831,2048
156,2048
11,2048
839,2048
20,2048
14,2048
19,2048
2202,2048
340,2048
13,2048
800,2048
16,2048
92,2048
15,2048
87,2048
59,2048
57,2048
2005,2048
2002,2048
56,2048
62,2048
397,2048
2004,2048
5004,2048
2006,2048
867,2048
250,2048
251,2048
253,2048
254,2048
367,2048
2321,2048
860,2048
480,2048
2446,2048
85,2048
89,2048
83,2048
90,2048
884,2048
838,2048
2211,2048
844,2048
469,2048
845,2048
846,2048
365,2048
2449,2048
2217,2048
883,2048
882,2048
887,2048
888,2048
885,2048
886,2048
829,2048
76,2048
289,2048
402,2048
2201,2048
375,2048
2210,2048
2461,2048
905,2048
894,2048
374,2048
913,2048
238,2048
847,2048
851,2048
229,2048
230,2048
490,2048
491,2048
2482,2048
896,2048
2483,2048
2485,2048
2481,2048
908,2048
2477,2048
812,2048
520,2048
2278,2048
2280,2048
110,2048
485,2048
890,2048
2279,2048
515,2048
2282,2048
337,2048
824,2048
918,2048
919,2048
857,2048
858,2048
899,2048
920,2048
921,2048
316,2048
2426,2048
2413,2048
2414,2048
394,2048
866,2048
2418,2048
2422,2048
864,2048
530,2048
212,2048
2029,2048
2236,2048
2288,2048
2233,2048
1005,2048
871,2048
2258,2048
476,2048
382,2048
136,2048
2036,2048
2037,2048
137,2048
214,2048
2450,2048
2021,2048
141,2048
523,2048
524,2048
868,2048
5001,2048
869,2048
379,2048
406,2048
2448,2048
2022,2048
806,2048
881,2048
79,2048
805,2048
5072,2048
2040,2048
878,2048
879,2048
69,2048
1016,2048
2337,2048
370,2048
267,2048
266,2048
874,2048
519,2048
514,2048
262,2048
30,2048
2326,2048
526,2048
2256,2048
271,2048
269,2048
